Uid,Time,Symbol,Side,Price,Quantity,Amount,Fee,Realized Profit,Buyer,Maker,Trade ID,Order ID
409037932,2026-06-18 20:07:24,ETHUSDT,SELL,1733.76,0.028,48.54528,0.02427264USDT,-0.00307999,false,false,8323719608,8389766211359756324
409037932,2026-06-18 19:42:07,POLUSDT,BUY,0.07685,649,49.87565,0.02493782USDT,0.14278,true,false,203161850,4308658921
409037932,2026-06-18 19:40:30,ETHUSDT,BUY,1733.87,0.028,48.54836,0.00970967USDT,0,true,true,8323470638,8389766211334148205
409037932,2026-06-18 18:25:53,POLUSDT,SELL,0.07707,649,50.01843,0.02500921USDT,0,false,false,203142105,4308240572
409037932,2026-06-18 16:31:33,ATOMUSDT,BUY,1.828,27.36,50.01408,0.02500704USDT,-0.05472,true,false,866199063,24524954230
409037932,2026-06-18 16:31:31,ATOMUSDT,SELL,1.826,27.36,49.95936,0.02497968USDT,0,false,false,866198856,24524953466
409037932,2026-06-18 16:31:30,ATOMUSDT,SELL,1.826,27.36,49.95936,0.02497968USDT,-0.02735999,false,false,866198853,24524953358
409037932,2026-06-18 16:06:46,ATOMUSDT,BUY,1.827,27.36,49.98672,0.02499336USDT,0,true,false,866190438,24524806100
409037932,2026-06-18 14:59:26,ADAUSDT,BUY,0.1665,299,49.7835,0.02489175USDT,0.1196,true,false,1883837327,65748934166
409037932,2026-06-18 13:47:15,POLUSDT,SELL,0.07672,479,36.74888,0.01837443USDT,0.05269,false,false,203112692,4307762412
409037932,2026-06-18 13:47:15,POLUSDT,SELL,0.07672,173,13.27256,0.00663628USDT,0.01903,false,false,203112691,4307762412
409037932,2026-06-18 13:37:22,ADAUSDT,SELL,0.1669,299,49.9031,0.00998062USDT,0,false,true,1883820238,65747691198
409037932,2026-06-18 13:22:28,ADAUSDT,SELL,0.1661,301,49.9961,0.02499805USDT,0.0602,false,false,1883816215,65747429137
409037932,2026-06-18 13:22:03,ETHUSDT,SELL,1740.19,0.028,48.72532,0.02436266USDT,-0.03191999,false,false,8322250030,8389766211115916027
409037932,2026-06-18 12:46:17,BCHUSDT,SELL,207.98,0.238,49.49924,0.02474962USDT,-0.29988,false,false,1279063581,39291690556
409037932,2026-06-18 10:20:27,BCHUSDT,BUY,209.24,0.238,49.79912,0.00995982USDT,0,true,true,1278975809,39290775654
409037932,2026-06-18 10:09:17,ADAUSDT,BUY,0.1659,301,49.9359,0.00998718USDT,0,true,true,1883762152,65743985909
409037932,2026-06-18 09:43:37,ETHUSDT,BUY,1741.33,0.028,48.75724,0.00975144USDT,0,true,true,8321358694,8389766210972185631
409037932,2026-06-18 09:37:32,POLUSDT,BUY,0.07661,344,26.35384,0.00527076USDT,0,true,true,203080460,4307201944
409037932,2026-06-18 09:37:32,POLUSDT,BUY,0.07661,308,23.59588,0.00471917USDT,0,true,true,203080459,4307201944
409037932,2026-06-18 09:37:03,XLMUSDT,BUY,0.23362,43,10.04566,0.00502283USDT,-0.15222,true,false,970296911,22258970147
409037932,2026-06-18 09:24:52,DOGEUSDT,BUY,0.08572,583,49.97476,0.00999495USDT,0,true,true,3386359174,99505218011
409037932,2026-06-18 09:24:36,XRPUSDT,BUY,1.1821,42.2,49.88462,0.00997692USDT,0,true,true,3155531173,151988569411
409037932,2026-06-18 09:20:38,BNBUSDT,BUY,599.19,0.08,47.9352,0.00958704USDT,0,true,true,2180436736,91647116686
409037932,2026-06-18 07:51:30,POLUSDT,BUY,0.07724,367,28.34708,0.01417354USDT,0.02201999,true,false,203066819,4307088610
409037932,2026-06-18 07:51:30,POLUSDT,BUY,0.07724,66,5.09784,0.00254892USDT,0.00395999,true,false,203066818,4307088610
409037932,2026-06-18 07:51:30,POLUSDT,BUY,0.07724,214,16.52936,0.00826468USDT,0.01284,true,false,203066817,4307088610
409037932,2026-06-18 07:46:49,ETHUSDT,BUY,1753.16,0.028,49.08848,0.02454424USDT,0.15372,true,false,8321038087,8389766210903975129
409037932,2026-06-18 07:03:52,ETHUSDT,SELL,1758.65,0.028,49.2422,0.00984844USDT,0,false,true,8320905388,8389766210854248237
409037932,2026-06-18 06:11:00,POLUSDT,SELL,0.0773,563,43.5199,0.02175995USDT,0,false,false,203055791,4306958001
409037932,2026-06-18 06:11:00,POLUSDT,SELL,0.0773,84,6.4932,0.00324660USDT,0,false,false,203055790,4306958001
409037932,2026-06-18 05:08:15,XLMUSDT,SELL,0.23008,43,9.89344,0.00197868USDT,0,false,true,969746886,22251839307
409037932,2026-06-18 04:12:39,BNBUSDT,BUY,599.39,0.01,5.9939,0.00299695USDT,-0.00009999,true,false,2180281851,91639942982
409037932,2026-06-18 04:12:37,BNBUSDT,SELL,599.38,0.01,5.9938,0.00299690USDT,0,false,false,2180281848,91639942649
409037932,2026-06-18 04:12:37,BNBUSDT,SELL,599.38,0.01,5.9938,0.00299690USDT,0.0313,false,false,2180281847,91639942553
409037932,2026-06-18 04:09:47,XRPUSDT,SELL,1.1797,8.4,9.90948,0.00495474USDT,0.0504,false,false,3155351687,151974689127
409037932,2026-06-18 04:08:18,DOGEUSDT,SELL,0.08517,117,9.96489,0.00498244USDT,0.04563,false,false,3386242599,99496935682
409037932,2026-06-18 04:04:36,ADAUSDT,SELL,0.1644,61,10.0284,0.00501420USDT,0.0366,false,false,1883677106,65737794498
409037932,2026-06-18 04:03:36,ADAUSDT,BUY,0.1638,61,9.9918,0.00199835USDT,0,true,true,1883674839,65737754827
409037932,2026-06-18 04:03:32,DOGEUSDT,BUY,0.08478,117,9.91926,0.00198385USDT,0,true,true,3386231964,99496712821
409037932,2026-06-18 04:03:15,BNBUSDT,BUY,596.25,0.01,5.9625,0.00119250USDT,0,true,true,2180267239,91639593308
409037932,2026-06-18 04:03:08,XRPUSDT,BUY,1.1737,3.2,3.75584,0.00187792USDT,0,true,false,3155335722,151974334508
409037932,2026-06-18 04:03:08,XRPUSDT,BUY,1.1737,5.2,6.10324,0.00305162USDT,0,true,false,3155335721,151974334508
409037932,2026-06-18 03:40:57,XRPUSDT,SELL,1.1849,42.3,50.12127,0.02506063USDT,-0.12267,false,false,3155313631,151973319254
409037932,2026-06-18 02:58:19,BNBUSDT,SELL,601.31,0.06,36.0786,0.01803930USDT,0.1542,false,false,2180233463,91638206125
409037932,2026-06-18 02:58:19,BNBUSDT,SELL,601.31,0.01,6.0131,0.00300655USDT,0.0257,false,false,2180233462,91638206125
409037932,2026-06-18 02:58:19,BNBUSDT,SELL,601.31,0.01,6.0131,0.00300655USDT,0.0257,false,false,2180233461,91638206125
409037932,2026-06-18 02:33:16,POLUSDT,SELL,0.07654,655,50.1337,0.02506685USDT,0.34715,false,false,203029182,4306538863
409037932,2026-06-18 02:32:50,XRPUSDT,BUY,1.1878,42.3,50.24394,0.02512197USDT,0,true,false,3155265544,151969957837
409037932,2026-06-18 02:32:49,XRPUSDT,BUY,1.1878,42.3,50.24394,0.02512197USDT,-0.01269,true,false,3155265540,151969957210
409037932,2026-06-18 02:32:47,XRPUSDT,SELL,1.1875,23.4,27.7875,0.01389375USDT,0,false,false,3155265508,151969956140
409037932,2026-06-18 02:32:47,XRPUSDT,SELL,1.1875,18.9,22.44375,0.01122187USDT,0,false,false,3155265507,151969956140
409037932,2026-06-18 02:32:46,XRPUSDT,SELL,1.1875,33.6,39.9,0.01995000USDT,0.2352,false,false,3155265503,151969955997
409037932,2026-06-18 02:32:46,XRPUSDT,SELL,1.1875,4.7,5.58125,0.00279062USDT,0.0329,false,false,3155265502,151969955997
409037932,2026-06-18 02:32:46,XRPUSDT,SELL,1.1875,4,4.75,0.00237500USDT,0.028,false,false,3155265501,151969955997
409037932,2026-06-18 02:09:54,DOGEUSDT,SELL,0.0856,521,44.5976,0.02229880USDT,0.21361,false,false,3386168343,99493226135
409037932,2026-06-18 02:09:54,DOGEUSDT,SELL,0.0856,65,5.564,0.00278200USDT,0.02665,false,false,3386168342,99493226135
409037932,2026-06-18 01:48:31,ETHUSDT,SELL,1736.85,0.004,6.9474,0.00347370USDT,0.01516,false,false,8319739339,8389766210675660878
409037932,2026-06-18 01:48:31,ETHUSDT,SELL,1736.85,0.012,20.8422,0.01042110USDT,0.04548,false,false,8319739338,8389766210675660878
409037932,2026-06-18 01:48:31,ETHUSDT,SELL,1736.85,0.012,20.8422,0.01042110USDT,0.04548,false,false,8319739337,8389766210675660878
409037932,2026-06-18 01:43:11,BNBUSDT,BUY,598.74,0.08,47.8992,0.00957983USDT,0,true,true,2180155665,91635593504
409037932,2026-06-18 01:41:58,DOGEUSDT,BUY,0.08519,586,49.92134,0.00998426USDT,0,true,true,3386126702,99491906280
409037932,2026-06-18 01:40:34,XRPUSDT,BUY,1.1805,42.3,49.93515,0.00998702USDT,0,true,true,3155179924,151967068074
409037932,2026-06-18 01:39:59,ETHUSDT,BUY,1733.06,0.028,48.52568,0.02426284USDT,0,true,false,8319623198,8389766210666509719
409037932,2026-06-18 01:29:21,POLUSDT,BUY,0.07601,341,25.91941,0.01295970USDT,0,true,false,203014749,4306364590
409037932,2026-06-18 01:29:21,POLUSDT,BUY,0.07601,314,23.86714,0.01193357USDT,0,true,false,203014748,4306364590
409037932,2026-06-18 00:39:10,ATOMUSDT,SELL,1.961,25.68,50.35848,0.02517924USDT,0.46224,false,false,866088083,24521959296
409037932,2026-06-18 00:10:05,POLUSDT,SELL,0.0774,100,7.74,0.00387000USDT,0.053,false,false,202996591,4306146429
409037932,2026-06-18 00:10:05,POLUSDT,SELL,0.0774,549,42.4926,0.02124630USDT,0.29097,false,false,202996590,4306146429
409037932,2026-06-18 00:05:37,POLUSDT,BUY,0.07687,649,49.88863,0.02494431USDT,0,true,false,202994615,4306126201
409037932,2026-06-18 00:05:24,ATOMUSDT,BUY,1.943,25.68,49.89624,0.02494812USDT,0,true,false,866081101,24521815248
409037932,2026-06-18 00:00:16,ETHUSDT,BUY,1777.82,0.027,48.00114,0.02400057USDT,0.31023,true,false,8317985355,8389766210562024274
409037932,2026-06-17 23:54:04,ETHUSDT,SELL,1789.31,0.027,48.31137,0.00966227USDT,0,false,true,8317897726,8389766210556695871
409037932,2026-06-17 23:08:53,DOGEUSDT,BUY,0.08692,502,43.63384,0.02181692USDT,0.10542,true,false,3385929011,99484925042
409037932,2026-06-17 23:08:53,DOGEUSDT,BUY,0.08692,71,6.17132,0.00308566USDT,0.01491,true,false,3385929010,99484925042
409037932,2026-06-17 23:08:27,XRPUSDT,BUY,1.2087,41.2,49.79844,0.02489922USDT,0.13596,true,false,3154868155,151957194386
409037932,2026-06-17 22:33:52,ETHUSDT,BUY,1777.7,0.028,49.7756,0.02488780USDT,0.1358,true,false,8317545781,8389766210499150636
409037932,2026-06-17 22:27:41,ETHUSDT,SELL,1782.55,0.028,49.9114,0.02495570USDT,0,false,false,8317445367,8389766210493205412
409037932,2026-06-17 22:10:14,XLMUSDT,BUY,0.23032,194,44.68208,0.02234104USDT,-0.04268,true,false,969191403,22245563689
409037932,2026-06-17 22:10:14,XLMUSDT,BUY,0.23032,22,5.06704,0.00253352USDT,-0.00484,true,false,969191402,22245563689
409037932,2026-06-17 21:50:13,DOGEUSDT,SELL,0.08713,573,49.92549,0.02496274USDT,0,false,false,3385872963,99482219721
409037932,2026-06-17 21:49:58,XRPUSDT,SELL,1.212,41.2,49.9344,0.00998688USDT,0,false,true,3154782248,151952897464
409037932,2026-06-17 21:48:34,DOGEUSDT,SELL,0.08692,115,9.9958,0.00499790USDT,0.00804999,false,false,3385870232,99482116296
409037932,2026-06-17 21:42:30,XLMUSDT,SELL,0.2301,49,11.2749,0.00563745USDT,0,false,false,969131720,22244916736
409037932,2026-06-17 21:42:30,XLMUSDT,SELL,0.2301,167,38.4267,0.01921335USDT,0,false,false,969131719,22244916736
409037932,2026-06-17 21:42:29,XLMUSDT,SELL,0.23008,216,49.69728,0.02484864USDT,-0.00864,false,false,969131708,22244916576
409037932,2026-06-17 21:42:27,XLMUSDT,BUY,0.23012,216,49.70592,0.02485296USDT,0,true,false,969131662,22244915973
409037932,2026-06-17 21:42:26,XLMUSDT,BUY,0.23006,216,49.69296,0.02484648USDT,0.3456,true,false,969131627,22244915738
409037932,2026-06-17 21:38:46,XLMUSDT,SELL,0.23166,126,29.18916,0.01459458USDT,0,false,false,969123865,22244831746
409037932,2026-06-17 21:38:46,XLMUSDT,SELL,0.23166,22,5.09652,0.00254826USDT,0,false,false,969123864,22244831746
409037932,2026-06-17 21:38:46,XLMUSDT,SELL,0.23166,68,15.75288,0.00787644USDT,0,false,false,969123863,22244831746
409037932,2026-06-17 20:25:22,BNBUSDT,BUY,605.71,0.01,6.0571,0.00302855USDT,0.0064,true,false,2179746509,91624790036
409037932,2026-06-17 18:05:30,BNBUSDT,SELL,606.35,0.01,6.0635,0.00303175USDT,0,false,false,2179580133,91619466237
409037932,2026-06-17 18:01:23,XLMUSDT,BUY,0.22325,44,9.823,0.00491150USDT,0.04356,true,false,968783448,22240477509
409037932,2026-06-17 17:41:26,XLMUSDT,SELL,0.22424,44,9.86656,0.00493328USDT,0,false,false,968753505,22240122866
409037932,2026-06-17 14:26:25,XLMUSDT,SELL,0.21968,22,4.83296,0.00241648USDT,0.02684,false,false,968586286,22238031837
409037932,2026-06-17 14:26:25,XLMUSDT,SELL,0.21968,23,5.05264,0.00252632USDT,0.02806,false,false,968586285,22238031837
409037932,2026-06-17 14:16:28,XLMUSDT,BUY,0.21846,45,9.8307,0.00491535USDT,0,true,false,968573025,22237891110
409037932,2026-06-17 12:32:54,DOGEUSDT,BUY,0.08685,115,9.98775,0.00199754USDT,0,true,true,3385534955,99462709142
409037932,2026-06-17 11:20:39,BNBUSDT,BUY,606.97,0.01,6.0697,0.00303485USDT,0.0164,true,false,2179352744,91607106854
409037932,2026-06-17 10:42:50,BNBUSDT,SELL,608.61,0.01,6.0861,0.00121722USDT,0,false,true,2179330549,91606058370
409037932,2026-06-17 09:47:10,POLUSDT,SELL,0.07697,131,10.08307,0.00504153USDT,0.14148,false,false,202912073,4304615388
409037932,2026-06-17 09:28:05,BCHUSDT,SELL,214,0.372,79.608,0.03980400USDT,0.04836,false,false,1278284286,39282226907
409037932,2026-06-17 09:28:05,BCHUSDT,SELL,214,0.094,20.116,0.01005799USDT,0.01222,false,false,1278284285,39282226907
409037932,2026-06-17 07:41:25,XRPUSDT,SELL,1.2147,8.2,9.96054,0.00498027USDT,0.04756,false,false,3154079656,151903947068
409037932,2026-06-17 07:32:32,POLUSDT,BUY,0.07589,66,5.00874,0.00100174USDT,0,true,true,202900613,4304338431
409037932,2026-06-17 07:32:30,POLUSDT,BUY,0.07589,65,4.93285,0.00098657USDT,0,true,true,202900612,4304338431
409037932,2026-06-17 07:21:29,XRPUSDT,BUY,1.2089,8.2,9.91298,0.00495649USDT,0,true,false,3154060806,151902584037
409037932,2026-06-17 05:56:41,BCHUSDT,BUY,213.87,0.466,99.66342,0.04983171USDT,0,true,false,1278140740,39280779384
409037932,2026-06-17 01:03:02,DOGEUSDT,BUY,0.08728,114,9.94992,0.00497495USDT,0.03534,true,false,3385262774,99442830230
409037932,2026-06-17 00:02:28,DOGEUSDT,SELL,0.08759,44,3.85396,0.00192698USDT,0,false,false,3385227555,99440905288
409037932,2026-06-17 00:02:28,DOGEUSDT,SELL,0.08759,70,6.1313,0.00306565USDT,0,false,false,3385227554,99440905288
409037932,2026-06-17 00:02:02,TRXUSDT,SELL,0.31782,156,49.57992,0.02478996USDT,-0.17784,false,false,690354707,18253454594
